main_location,geometry
WEST  142 STREET,"POLYGON ((-74.0139123000000012 40.7092055999999971, -74.0138668000000024 40.7091945000000024, -74.0138742000000036 40.7091740999999985, -74.0137258999999972 40.7091110000000000, -74.0135518999999960 40.7090356000000000, -74.0135185999999976 40.7090838000000019, -74.0135053000000056 40.7090784999999968, -74.0135003000000040 40.7090879000000001, -74.0134441000000010 40.7091793999999965, -74.0134237999999982 40.7092104999999975, -74.0136143000000004 40.7092923000000013, -74.0136540000000025 40.7093093000000010, -74.0138096000000019 40.7093761000000001, -74.0138141999999988 40.7093774000000010, -74.0138237000000032 40.7093784999999997, -74.0138333000000017 40.7093772999999999, -74.0138419999999968 40.7093739999999968, -74.0138457000000045 40.7093715999999972, -74.0138529000000034 40.7093647000000018, -74.0139123000000012 40.7092055999999971))"
EAST  128 STREET,"POLYGON ((-77.5901793981982024 43.1515410000000017, -77.5901880743663668 43.1513643925399464, -77.5902140193146010 43.1511894859062792, -77.5902569831788611 43.1510179645454883, -77.5903165521936842 43.1508514803020446, -77.5903921526768556 43.1506916365102242, -77.5904830565544188 43.1505399725531191, -77.5905883883723249 43.1503979490375471, -77.5907071337276051 43.1502669337275933, -77.5908381490375518 43.1501481883723201, -77.5909801725531310 43.1500428565544141, -77.5911318365102289 43.1499519526768509, -77.5912916803020494 43.1498763521936723, -77.5914581645455002 43.1498167831788635, -77.5916296859062840 43.1497738193145892, -77.5918045925399582 43.1497478743663549, -77.5919812000000064 43.1497391981981977, -77.5921578074600546 43.1497478743663549, -77.5923327140937289 43.1497738193145892, -77.5925042354545127 43.1498167831788635, -77.5926707196979635 43.1498763521936723, -77.5928305634897839 43.1499519526768509, -77.5929822274468819 43.1500428565544141, -77.5931242509624610 43.1501481883723201, -77.5932552662724078 43.1502669337275933, -77.5933740116276880 43.1503979490375471, -77.5934793434455941 43.1505399725531191, -77.5935702473231572 43.1506916365102242, -77.5936458478063287 43.1508514803020446, -77.5937054168211517 43.1510179645454883, -77.5937483806854118 43.1511894859062792, -77.5937743256336461 43.1513643925399464, -77.5937830018018104 43.1515410000000017, -77.5937743256336461 43.1517176074600570, -77.5937483806854118 43.1518925140937242, -77.5937054168211517 43.1520640354545151, -77.5936458478063287 43.1522305196979588, -77.5935702473231572 43.1523903634897792, -77.5934793434455941 43.1525420274468843, -77.5933740116276880 43.1526840509624563, -77.5932552662724078 43.1528150662724101, -77.5931242509624610 43.1529338116276833, -77.5929822274468819 43.1530391434455893, -77.5928305634897839 43.1531300473231525, -77.5926707196979635 43.1532056478063311, -77.5925042354545127 43.1532652168211399, -77.5923327140937289 43.1533081806854142, -77.5921578074600546 43.1533341256336485, -77.5919812000000064 43.1533428018018057, -77.5918045925399582 43.1533341256336485, -77.5916296859062840 43.1533081806854142, -77.5914581645455002 43.1532652168211399, -77.5912916803020494 43.1532056478063311, -77.5911318365102289 43.1531300473231525, -77.5909801725531310 43.1530391434455893, -77.5908381490375518 43.1529338116276833, -77.5907071337276051 43.1528150662724101, -77.5905883883723249 43.1526840509624563, -77.5904830565544188 43.1525420274468843, -77.5903921526768556 43.1523903634897792, -77.5903165521936842 43.1522305196979588, -77.5902569831788611 43.1520640354545151, -77.5902140193146010 43.1518925140937242, -77.5901880743663668 43.1517176074600570, -77.5901793981982024 43.1515410000000017))"
WEST  146 STREET,"POLYGON ((-74.0139123000000012 40.7092055999999971, -74.0138668000000024 40.7091945000000024, -74.0138742000000036 40.7091740999999985, -74.0137258999999972 40.7091110000000000, -74.0135518999999960 40.7090356000000000, -74.0135185999999976 40.7090838000000019, -74.0135053000000056 40.7090784999999968, -74.0135003000000040 40.7090879000000001, -74.0134441000000010 40.7091793999999965, -74.0134237999999982 40.7092104999999975, -74.0136143000000004 40.7092923000000013, -74.0136540000000025 40.7093093000000010, -74.0138096000000019 40.7093761000000001, -74.0138141999999988 40.7093774000000010, -74.0138237000000032 40.7093784999999997, -74.0138333000000017 40.7093772999999999, -74.0138419999999968 40.7093739999999968, -74.0138457000000045 40.7093715999999972, -74.0138529000000034 40.7093647000000018, -74.0139123000000012 40.7092055999999971))"
WEST  141 STREET,"POLYGON ((-74.0139123000000012 40.7092055999999971, -74.0138668000000024 40.7091945000000024, -74.0138742000000036 40.7091740999999985, -74.0137258999999972 40.7091110000000000, -74.0135518999999960 40.7090356000000000, -74.0135185999999976 40.7090838000000019, -74.0135053000000056 40.7090784999999968, -74.0135003000000040 40.7090879000000001, -74.0134441000000010 40.7091793999999965, -74.0134237999999982 40.7092104999999975, -74.0136143000000004 40.7092923000000013, -74.0136540000000025 40.7093093000000010, -74.0138096000000019 40.7093761000000001, -74.0138141999999988 40.7093774000000010, -74.0138237000000032 40.7093784999999997, -74.0138333000000017 40.7093772999999999, -74.0138419999999968 40.7093739999999968, -74.0138457000000045 40.7093715999999972, -74.0138529000000034 40.7093647000000018, -74.0139123000000012 40.7092055999999971))"
WEST  143 STREET,"POLYGON ((-74.0139123000000012 40.7092055999999971, -74.0138668000000024 40.7091945000000024, -74.0138742000000036 40.7091740999999985, -74.0137258999999972 40.7091110000000000, -74.0135518999999960 40.7090356000000000, -74.0135185999999976 40.7090838000000019, -74.0135053000000056 40.7090784999999968, -74.0135003000000040 40.7090879000000001, -74.0134441000000010 40.7091793999999965, -74.0134237999999982 40.7092104999999975, -74.0136143000000004 40.7092923000000013, -74.0136540000000025 40.7093093000000010, -74.0138096000000019 40.7093761000000001, -74.0138141999999988 40.7093774000000010, -74.0138237000000032 40.7093784999999997, -74.0138333000000017 40.7093772999999999, -74.0138419999999968 40.7093739999999968, -74.0138457000000045 40.7093715999999972, -74.0138529000000034 40.7093647000000018, -74.0139123000000012 40.7092055999999971))"
WADSWORTH AVENUE,"POLYGON ((-73.9334142981982012 40.8494972000000018, -73.9334229743663656 40.8493205925399465, -73.9334489193145998 40.8491456859062794, -73.9334918831788599 40.8489741645454885, -73.9335514521936830 40.8488076803020448, -73.9336270526768544 40.8486478365102244, -73.9337179565544176 40.8484961725531193, -73.9338232883723236 40.8483541490375472, -73.9339420337276039 40.8482231337275934, -73.9340730490375506 40.8481043883723203, -73.9342150725531297 40.8479990565544142, -73.9343667365102277 40.8479081526768510, -73.9345265803020482 40.8478325521936725, -73.9346930645454989 40.8477729831788636, -73.9348645859062827 40.8477300193145894, -73.9350394925399570 40.8477040743663551, -73.9352161000000052 40.8476953981981978, -73.9353927074600534 40.8477040743663551, -73.9355676140937277 40.8477300193145894, -73.9357391354545115 40.8477729831788636, -73.9359056196979623 40.8478325521936725, -73.9360654634897827 40.8479081526768510, -73.9362171274468807 40.8479990565544142, -73.9363591509624598 40.8481043883723203, -73.9364901662724066 40.8482231337275934, -73.9366089116276868 40.8483541490375472, -73.9367142434455928 40.8484961725531193, -73.9368051473231560 40.8486478365102244, -73.9368807478063275 40.8488076803020448, -73.9369403168211505 40.8489741645454885, -73.9369832806854106 40.8491456859062794, -73.9370092256336449 40.8493205925399465, -73.9370179018018092 40.8494972000000018, -73.9370092256336449 40.8496738074600572, -73.9369832806854106 40.8498487140937243, -73.9369403168211505 40.8500202354545152, -73.9368807478063275 40.8501867196979589, -73.9368051473231560 40.8503465634897793, -73.9367142434455928 40.8504982274468844, -73.9366089116276868 40.8506402509624564, -73.9364901662724066 40.8507712662724103, -73.9363591509624598 40.8508900116276834, -73.9362171274468807 40.8509953434455895, -73.9360654634897827 40.8510862473231526, -73.9359056196979623 40.8511618478063312, -73.9357391354545115 40.8512214168211401, -73.9355676140937277 40.8512643806854143, -73.9353927074600534 40.8512903256336486, -73.9352161000000052 40.8512990018018058, -73.9350394925399570 40.8512903256336486, -73.9348645859062827 40.8512643806854143, -73.9346930645454989 40.8512214168211401, -73.9345265803020482 40.8511618478063312, -73.9343667365102277 40.8510862473231526, -73.9342150725531297 40.8509953434455895, -73.9340730490375506 40.8508900116276834, -73.9339420337276039 40.8507712662724103, -73.9338232883723236 40.8506402509624564, -73.9337179565544176 40.8504982274468844, -73.9336270526768544 40.8503465634897793, -73.9335514521936830 40.8501867196979589, -73.9334918831788599 40.8500202354545152, -73.9334489193145998 40.8498487140937243, -73.9334229743663656 40.8496738074600572, -73.9334142981982012 40.8494972000000018))"
MOUNT CARMEL PLACE,"POLYGON ((-73.9759386981981919 40.7398517999999967, -73.9759473743663563 40.7396751925399414, -73.9759733193145905 40.7395002859062743, -73.9760162831788506 40.7393287645454834, -73.9760758521936737 40.7391622803020397, -73.9761514526768451 40.7390024365102192, -73.9762423565544083 40.7388507725531142, -73.9763476883723143 40.7387087490375421, -73.9764664337275946 40.7385777337275883, -73.9765974490375413 40.7384589883723152, -73.9767394725531204 40.7383536565544091, -73.9768911365102184 40.7382627526768459, -73.9770509803020389 40.7381871521936674, -73.9772174645454896 40.7381275831788585, -73.9773889859062734 40.7380846193145842, -73.9775638925399477 40.7380586743663500, -73.9777404999999959 40.7380499981981927, -73.9779171074600441 40.7380586743663500, -73.9780920140937184 40.7380846193145842, -73.9782635354545022 40.7381275831788585, -73.9784300196979530 40.7381871521936674, -73.9785898634897734 40.7382627526768459, -73.9787415274468714 40.7383536565544091, -73.9788835509624505 40.7384589883723152, -73.9790145662723972 40.7385777337275883, -73.9791333116276775 40.7387087490375421, -73.9792386434455835 40.7388507725531142, -73.9793295473231467 40.7390024365102192, -73.9794051478063182 40.7391622803020397, -73.9794647168211412 40.7393287645454834, -73.9795076806854013 40.7395002859062743, -73.9795336256336356 40.7396751925399414, -73.9795423018017999 40.7398517999999967, -73.9795336256336356 40.7400284074600521, -73.9795076806854013 40.7402033140937192, -73.9794647168211412 40.7403748354545101, -73.9794051478063182 40.7405413196979538, -73.9793295473231467 40.7407011634897742, -73.9792386434455835 40.7408528274468793, -73.9791333116276775 40.7409948509624513, -73.9790145662723972 40.7411258662724052, -73.9788835509624505 40.7412446116276783, -73.9787415274468714 40.7413499434455844, -73.9785898634897734 40.7414408473231475, -73.9784300196979530 40.7415164478063261, -73.9782635354545022 40.7415760168211349, -73.9780920140937184 40.7416189806854092, -73.9779171074600441 40.7416449256336435, -73.9777404999999959 40.7416536018018007, -73.9775638925399477 40.7416449256336435, -73.9773889859062734 40.7416189806854092, -73.9772174645454896 40.7415760168211349, -73.9770509803020389 40.7415164478063261, -73.9768911365102184 40.7414408473231475, -73.9767394725531204 40.7413499434455844, -73.9765974490375413 40.7412446116276783, -73.9764664337275946 40.7411258662724052, -73.9763476883723143 40.7409948509624513, -73.9762423565544083 40.7408528274468793, -73.9761514526768451 40.7407011634897742, -73.9760758521936737 40.7405413196979538, -73.9760162831788506 40.7403748354545101, -73.9759733193145905 40.7402033140937192, -73.9759473743663563 40.7400284074600521, -73.9759386981981919 40.7398517999999967))"
KENMARE STREET,"POLYGON ((-73.9938941981981912 40.7208776000000015, -73.9939028743663556 40.7207009925399461, -73.9939288193145899 40.7205260859062790, -73.9939717831788499 40.7203545645454881, -73.9940313521936730 40.7201880803020444, -73.9941069526768445 40.7200282365102240, -73.9941978565544076 40.7198765725531189, -73.9943031883723137 40.7197345490375469, -73.9944219337275939 40.7196035337275930, -73.9945529490375407 40.7194847883723199, -73.9946949725531198 40.7193794565544138, -73.9948466365102178 40.7192885526768507, -73.9950064803020382 40.7192129521936721, -73.9951729645454890 40.7191533831788632, -73.9953444859062728 40.7191104193145890, -73.9955193925399470 40.7190844743663547, -73.9956959999999953 40.7190757981981974, -73.9958726074600435 40.7190844743663547, -73.9960475140937177 40.7191104193145890, -73.9962190354545015 40.7191533831788632, -73.9963855196979523 40.7192129521936721, -73.9965453634897727 40.7192885526768507, -73.9966970274468707 40.7193794565544138, -73.9968390509624498 40.7194847883723199, -73.9969700662723966 40.7196035337275930, -73.9970888116276768 40.7197345490375469, -73.9971941434455829 40.7198765725531189, -73.9972850473231460 40.7200282365102240, -73.9973606478063175 40.7201880803020444, -73.9974202168211406 40.7203545645454881, -73.9974631806854006 40.7205260859062790, -73.9974891256336349 40.7207009925399461, -73.9974978018017993 40.7208776000000015, -73.9974891256336349 40.7210542074600568, -73.9974631806854006 40.7212291140937239, -73.9974202168211406 40.7214006354545148, -73.9973606478063175 40.7215671196979585, -73.9972850473231460 40.7217269634897789, -73.9971941434455829 40.7218786274468840, -73.9970888116276768 40.7220206509624560, -73.9969700662723966 40.7221516662724099, -73.9968390509624498 40.7222704116276830, -73.9966970274468707 40.7223757434455891, -73.9965453634897727 40.7224666473231522, -73.9963855196979523 40.7225422478063308, -73.9962190354545015 40.7226018168211397, -73.9960475140937177 40.7226447806854139, -73.9958726074600435 40.7226707256336482, -73.9956959999999953 40.7226794018018055, -73.9955193925399470 40.7226707256336482, -73.9953444859062728 40.7226447806854139, -73.9951729645454890 40.7226018168211397, -73.9950064803020382 40.7225422478063308, -73.9948466365102178 40.7224666473231522, -73.9946949725531198 40.7223757434455891, -73.9945529490375407 40.7222704116276830, -73.9944219337275939 40.7221516662724099, -73.9943031883723137 40.7220206509624560, -73.9941978565544076 40.7218786274468840, -73.9941069526768445 40.7217269634897789, -73.9940313521936730 40.7215671196979585, -73.9939717831788499 40.7214006354545148, -73.9939288193145899 40.7212291140937239, -73.9939028743663556 40.7210542074600568, -73.9938941981981912 40.7208776000000015))"
Peter Minuit Playground,"POLYGON ((-73.9476750000000038 40.7946577000000019, -73.9473191000000014 40.7945078999999993, -73.9472877000000040 40.7944947000000013, -73.9472406999999947 40.7944748999999973, -73.9471223999999978 40.7944265000000001, -73.9469823000000019 40.7946209999999994, -73.9467848000000032 40.7948856000000006, -73.9469062999999949 40.7949369000000033, -73.9471695999999952 40.7950475999999966, -73.9473389000000054 40.7951180000000022, -73.9475750000000005 40.7947938000000008, -73.9476750000000038 40.7946577000000019))"
EAST   23 STREET,"POLYGON ((-73.9871580981981936 40.7412903000000028, -73.9871667743663579 40.7411136925399475, -73.9871927193145922 40.7409387859062804, -73.9872356831788522 40.7407672645454895, -73.9872952521936753 40.7406007803020458, -73.9873708526768468 40.7404409365102254, -73.9874617565544099 40.7402892725531203, -73.9875670883723160 40.7401472490375482, -73.9876858337275962 40.7400162337275944, -73.9878168490375430 40.7398974883723213, -73.9879588725531221 40.7397921565544152, -73.9881105365102201 40.7397012526768521, -73.9882703803020405 40.7396256521936735, -73.9884368645454913 40.7395660831788646, -73.9886083859062751 40.7395231193145904, -73.9887832925399493 40.7394971743663561, -73.9889598999999976 40.7394884981981988, -73.9891365074600458 40.7394971743663561, -73.9893114140937200 40.7395231193145904, -73.9894829354545038 40.7395660831788646, -73.9896494196979546 40.7396256521936735, -73.9898092634897750 40.7397012526768521, -73.9899609274468730 40.7397921565544152, -73.9901029509624522 40.7398974883723213, -73.9902339662723989 40.7400162337275944, -73.9903527116276791 40.7401472490375482, -73.9904580434455852 40.7402892725531203, -73.9905489473231484 40.7404409365102254, -73.9906245478063198 40.7406007803020458, -73.9906841168211429 40.7407672645454895, -73.9907270806854029 40.7409387859062804, -73.9907530256336372 40.7411136925399475, -73.9907617018018016 40.7412903000000028, -73.9907530256336372 40.7414669074600582, -73.9907270806854029 40.7416418140937253, -73.9906841168211429 40.7418133354545162, -73.9906245478063198 40.7419798196979599, -73.9905489473231484 40.7421396634897803, -73.9904580434455852 40.7422913274468854, -73.9903527116276791 40.7424333509624574, -73.9902339662723989 40.7425643662724113, -73.9901029509624522 40.7426831116276844, -73.9899609274468730 40.7427884434455905, -73.9898092634897750 40.7428793473231536, -73.9896494196979546 40.7429549478063322, -73.9894829354545038 40.7430145168211411, -73.9893114140937200 40.7430574806854153, -73.9891365074600458 40.7430834256336496, -73.9889598999999976 40.7430921018018068, -73.9887832925399493 40.7430834256336496, -73.9886083859062751 40.7430574806854153, -73.9884368645454913 40.7430145168211411, -73.9882703803020405 40.7429549478063322, -73.9881105365102201 40.7428793473231536, -73.9879588725531221 40.7427884434455905, -73.9878168490375430 40.7426831116276844, -73.9876858337275962 40.7425643662724113, -73.9875670883723160 40.7424333509624574, -73.9874617565544099 40.7422913274468854, -73.9873708526768468 40.7421396634897803, -73.9872952521936753 40.7419798196979599, -73.9872356831788522 40.7418133354545162, -73.9871927193145922 40.7416418140937253, -73.9871667743663579 40.7414669074600582, -73.9871580981981936 40.7412903000000028))"
Isham Park,"POLYGON ((-73.9207148999999930 40.8698663999999994, -73.9201515999999970 40.8689820000000026, -73.9197707999999949 40.8690956000000014, -73.9192986999999988 40.8684060000000002, -73.9174373000000031 40.8691686000000018, -73.9179414999999977 40.8695378000000034, -73.9180192000000034 40.8697116000000022, -73.9174533000000054 40.8699555999999973, -73.9178255000000064 40.8702682999999993, -73.9182258000000019 40.8706046000000001, -73.9185851999999954 40.8703612999999990, -73.9192213999999979 40.8708986999999979, -73.9207148999999930 40.8698663999999994))"
WEST   54 STREET,"POLYGON ((-73.9782180981981980 40.7629992000000030, -73.9782267743663624 40.7628225925399477, -73.9782527193145967 40.7626476859062805, -73.9782956831788567 40.7624761645454896, -73.9783552521936798 40.7623096803020459, -73.9784308526768513 40.7621498365102255, -73.9785217565544144 40.7619981725531204, -73.9786270883723205 40.7618561490375484, -73.9787458337276007 40.7617251337275945, -73.9788768490375475 40.7616063883723214, -73.9790188725531266 40.7615010565544154, -73.9791705365102246 40.7614101526768522, -73.9793303803020450 40.7613345521936736, -73.9794968645454958 40.7612749831788648, -73.9796683859062796 40.7612320193145905, -73.9798432925399538 40.7612060743663562, -73.9800199000000021 40.7611973981981990, -73.9801965074600503 40.7612060743663562, -73.9803714140937245 40.7612320193145905, -73.9805429354545083 40.7612749831788648, -73.9807094196979591 40.7613345521936736, -73.9808692634897795 40.7614101526768522, -73.9810209274468775 40.7615010565544154, -73.9811629509624566 40.7616063883723214, -73.9812939662724034 40.7617251337275945, -73.9814127116276836 40.7618561490375484, -73.9815180434455897 40.7619981725531204, -73.9816089473231528 40.7621498365102255, -73.9816845478063243 40.7623096803020459, -73.9817441168211474 40.7624761645454896, -73.9817870806854074 40.7626476859062805, -73.9818130256336417 40.7628225925399477, -73.9818217018018061 40.7629992000000030, -73.9818130256336417 40.7631758074600583, -73.9817870806854074 40.7633507140937255, -73.9817441168211474 40.7635222354545164, -73.9816845478063243 40.7636887196979600, -73.9816089473231528 40.7638485634897805, -73.9815180434455897 40.7640002274468856, -73.9814127116276836 40.7641422509624576, -73.9812939662724034 40.7642732662724114, -73.9811629509624566 40.7643920116276846, -73.9810209274468775 40.7644973434455906, -73.9808692634897795 40.7645882473231538, -73.9807094196979591 40.7646638478063323, -73.9805429354545083 40.7647234168211412, -73.9803714140937245 40.7647663806854155, -73.9801965074600503 40.7647923256336497, -73.9800199000000021 40.7648010018018070, -73.9798432925399538 40.7647923256336497, -73.9796683859062796 40.7647663806854155, -73.9794968645454958 40.7647234168211412, -73.9793303803020450 40.7646638478063323, -73.9791705365102246 40.7645882473231538, -73.9790188725531266 40.7644973434455906, -73.9788768490375475 40.7643920116276846, -73.9787458337276007 40.7642732662724114, -73.9786270883723205 40.7641422509624576, -73.9785217565544144 40.7640002274468856, -73.9784308526768513 40.7638485634897805, -73.9783552521936798 40.7636887196979600, -73.9782956831788567 40.7635222354545164, -73.9782527193145967 40.7633507140937255, -73.9782267743663624 40.7631758074600583, -73.9782180981981980 40.7629992000000030))"
Circle in the Square Theatre,"POLYGON ((-73.9835534981981908 40.7622483999999972, -73.9835621743663552 40.7620717925399418, -73.9835881193145894 40.7618968859062747, -73.9836310831788495 40.7617253645454838, -73.9836906521936726 40.7615588803020401, -73.9837662526768440 40.7613990365102197, -73.9838571565544072 40.7612473725531146, -73.9839624883723133 40.7611053490375426, -73.9840812337275935 40.7609743337275887, -73.9842122490375402 40.7608555883723156, -73.9843542725531194 40.7607502565544095, -73.9845059365102173 40.7606593526768464, -73.9846657803020378 40.7605837521936678, -73.9848322645454886 40.7605241831788589, -73.9850037859062724 40.7604812193145847, -73.9851786925399466 40.7604552743663504, -73.9853552999999948 40.7604465981981932, -73.9855319074600430 40.7604552743663504, -73.9857068140937173 40.7604812193145847, -73.9858783354545011 40.7605241831788589, -73.9860448196979519 40.7605837521936678, -73.9862046634897723 40.7606593526768464, -73.9863563274468703 40.7607502565544095, -73.9864983509624494 40.7608555883723156, -73.9866293662723962 40.7609743337275887, -73.9867481116276764 40.7611053490375426, -73.9868534434455825 40.7612473725531146, -73.9869443473231456 40.7613990365102197, -73.9870199478063171 40.7615588803020401, -73.9870795168211401 40.7617253645454838, -73.9871224806854002 40.7618968859062747, -73.9871484256336345 40.7620717925399418, -73.9871571018017988 40.7622483999999972, -73.9871484256336345 40.7624250074600525, -73.9871224806854002 40.7625999140937196, -73.9870795168211401 40.7627714354545105, -73.9870199478063171 40.7629379196979542, -73.9869443473231456 40.7630977634897746, -73.9868534434455825 40.7632494274468797, -73.9867481116276764 40.7633914509624518, -73.9866293662723962 40.7635224662724056, -73.9864983509624494 40.7636412116276787, -73.9863563274468703 40.7637465434455848, -73.9862046634897723 40.7638374473231480, -73.9860448196979519 40.7639130478063265, -73.9858783354545011 40.7639726168211354, -73.9857068140937173 40.7640155806854096, -73.9855319074600430 40.7640415256336439, -73.9853552999999948 40.7640502018018012, -73.9851786925399466 40.7640415256336439, -73.9850037859062724 40.7640155806854096, -73.9848322645454886 40.7639726168211354, -73.9846657803020378 40.7639130478063265, -73.9845059365102173 40.7638374473231480, -73.9843542725531194 40.7637465434455848, -73.9842122490375402 40.7636412116276787, -73.9840812337275935 40.7635224662724056, -73.9839624883723133 40.7633914509624518, -73.9838571565544072 40.7632494274468797, -73.9837662526768440 40.7630977634897746, -73.9836906521936726 40.7629379196979542, -73.9836310831788495 40.7627714354545105, -73.9835881193145894 40.7625999140937196, -73.9835621743663552 40.7624250074600525, -73.9835534981981908 40.7622483999999972))"
254 WEST 54 STREET,"POLYGON ((-73.9839362000000023 40.7642717000000019, -73.9838941000000005 40.7642538999999999, -73.9839108000000039 40.7642311000000035, -73.9838423000000063 40.7642020999999986, -73.9838256999999970 40.7642249000000021, -73.9837791000000067 40.7642050999999981, -73.9836212000000017 40.7644204999999999, -73.9836951999999997 40.7644529000000020, -73.9837779000000069 40.7644868000000002, -73.9839362000000023 40.7642717000000019))"
EAST   80 STREET,"POLYGON ((-73.9547769981981986 40.7748758999999978, -73.9547856743663630 40.7746992925399425, -73.9548116193145972 40.7745243859062754, -73.9548545831788573 40.7743528645454845, -73.9549141521936804 40.7741863803020408, -73.9549897526768518 40.7740265365102204, -73.9550806565544150 40.7738748725531153, -73.9551859883723210 40.7737328490375432, -73.9553047337276013 40.7736018337275894, -73.9554357490375480 40.7734830883723163, -73.9555777725531271 40.7733777565544102, -73.9557294365102251 40.7732868526768470, -73.9558892803020456 40.7732112521936685, -73.9560557645454963 40.7731516831788596, -73.9562272859062801 40.7731087193145854, -73.9564021925399544 40.7730827743663511, -73.9565788000000026 40.7730740981981938, -73.9567554074600508 40.7730827743663511, -73.9569303140937251 40.7731087193145854, -73.9571018354545089 40.7731516831788596, -73.9572683196979597 40.7732112521936685, -73.9574281634897801 40.7732868526768470, -73.9575798274468781 40.7733777565544102, -73.9577218509624572 40.7734830883723163, -73.9578528662724040 40.7736018337275894, -73.9579716116276842 40.7737328490375432, -73.9580769434455902 40.7738748725531153, -73.9581678473231534 40.7740265365102204, -73.9582434478063249 40.7741863803020408, -73.9583030168211479 40.7743528645454845, -73.9583459806854080 40.7745243859062754, -73.9583719256336423 40.7746992925399425, -73.9583806018018066 40.7748758999999978, -73.9583719256336423 40.7750525074600532, -73.9583459806854080 40.7752274140937203, -73.9583030168211479 40.7753989354545112, -73.9582434478063249 40.7755654196979549, -73.9581678473231534 40.7757252634897753, -73.9580769434455902 40.7758769274468804, -73.9579716116276842 40.7760189509624524, -73.9578528662724040 40.7761499662724063, -73.9577218509624572 40.7762687116276794, -73.9575798274468781 40.7763740434455855, -73.9574281634897801 40.7764649473231486, -73.9572683196979597 40.7765405478063272, -73.9571018354545089 40.7766001168211361, -73.9569303140937251 40.7766430806854103, -73.9567554074600508 40.7766690256336446, -73.9565788000000026 40.7766777018018018, -73.9564021925399544 40.7766690256336446, -73.9562272859062801 40.7766430806854103, -73.9560557645454963 40.7766001168211361, -73.9558892803020456 40.7765405478063272, -73.9557294365102251 40.7764649473231486, -73.9555777725531271 40.7763740434455855, -73.9554357490375480 40.7762687116276794, -73.9553047337276013 40.7761499662724063, -73.9551859883723210 40.7760189509624524, -73.9550806565544150 40.7758769274468804, -73.9549897526768518 40.7757252634897753, -73.9549141521936804 40.7755654196979549, -73.9548545831788573 40.7753989354545112, -73.9548116193145972 40.7752274140937203, -73.9547856743663630 40.7750525074600532, -73.9547769981981986 40.7748758999999978))"
CENTRAL PARK WEST,"POLYGON ((-73.9771675981981929 40.7721026999999978, -73.9771762743663572 40.7719260925399425, -73.9772022193145915 40.7717511859062753, -73.9772451831788516 40.7715796645454844, -73.9773047521936746 40.7714131803020408, -73.9773803526768461 40.7712533365102203, -73.9774712565544093 40.7711016725531152, -73.9775765883723153 40.7709596490375432, -73.9776953337275955 40.7708286337275894, -73.9778263490375423 40.7707098883723162, -73.9779683725531214 40.7706045565544102, -73.9781200365102194 40.7705136526768470, -73.9782798803020398 40.7704380521936685, -73.9784463645454906 40.7703784831788596, -73.9786178859062744 40.7703355193145853, -73.9787927925399487 40.7703095743663511, -73.9789693999999969 40.7703008981981938, -73.9791460074600451 40.7703095743663511, -73.9793209140937194 40.7703355193145853, -73.9794924354545032 40.7703784831788596, -73.9796589196979539 40.7704380521936685, -73.9798187634897744 40.7705136526768470, -73.9799704274468723 40.7706045565544102, -73.9801124509624515 40.7707098883723162, -73.9802434662723982 40.7708286337275894, -73.9803622116276784 40.7709596490375432, -73.9804675434455845 40.7711016725531152, -73.9805584473231477 40.7712533365102203, -73.9806340478063191 40.7714131803020408, -73.9806936168211422 40.7715796645454844, -73.9807365806854023 40.7717511859062753, -73.9807625256336365 40.7719260925399425, -73.9807712018018009 40.7721026999999978, -73.9807625256336365 40.7722793074600531, -73.9807365806854023 40.7724542140937203, -73.9806936168211422 40.7726257354545112, -73.9806340478063191 40.7727922196979549, -73.9805584473231477 40.7729520634897753, -73.9804675434455845 40.7731037274468804, -73.9803622116276784 40.7732457509624524, -73.9802434662723982 40.7733767662724063, -73.9801124509624515 40.7734955116276794, -73.9799704274468723 40.7736008434455854, -73.9798187634897744 40.7736917473231486, -73.9796589196979539 40.7737673478063272, -73.9794924354545032 40.7738269168211360, -73.9793209140937194 40.7738698806854103, -73.9791460074600451 40.7738958256336446, -73.9789693999999969 40.7739045018018018, -73.9787927925399487 40.7738958256336446, -73.9786178859062744 40.7738698806854103, -73.9784463645454906 40.7738269168211360, -73.9782798803020398 40.7737673478063272, -73.9781200365102194 40.7736917473231486, -73.9779683725531214 40.7736008434455854, -73.9778263490375423 40.7734955116276794, -73.9776953337275955 40.7733767662724063, -73.9775765883723153 40.7732457509624524, -73.9774712565544093 40.7731037274468804, -73.9773803526768461 40.7729520634897753, -73.9773047521936746 40.7727922196979549, -73.9772451831788516 40.7726257354545112, -73.9772022193145915 40.7724542140937203, -73.9771762743663572 40.7722793074600531, -73.9771675981981929 40.7721026999999978))"
