full_name,place_id,google_name,address,phone,lat,lon,cuisine_keyword,image_url,grid_id,rating,review_count,price_level,opening_hour,wheelchair_friendly,inspection_date,inspection_grade,cuisine_type,amenities
"Criminal Court Bldg Cafeteria, 100 Centre Street",ChIJDTph0yBawokR9WlbwRx3A6Q,New York County Criminal Court,"Manhattan Criminal Courthouse, 100 Centre St, New York, NY 10013, USA",(+1) 212-962-1037,40.71607656565,-74.001424896229,,,M-0108,2.6,69.0,,"{'Monday': ['09:00–17:00'], 'Tuesday': ['09:00–17:00'], 'Wednesday': ['09:00–17:00'], 'Thursday': ['09:00–17:00'], 'Friday': ['09:00–17:00'], 'Saturday': [], 'Sunday': []}",0.0,2025-04-11,,American,
"Nyac Main Dining Room, 180 Central Park South",ChIJkTUkH_dYwokR4WJX186l4Os,New York Athletic Club,"180 Central Park S, New York, NY 10019, USA",(+1) 212-767-7085,40.766718222992,-73.978736594767,,,M-0496,4.5,575.0,,,0.0,2025-01-29,A,American,
"7B Bar, 108 Avenue B",ChIJ_dHPIXhZwokRjbflLgfCFkM,7B Horseshoe Bar aka Vazacs,"108 Avenue B, New York, NY 10009, USA",(+1) 212-677-6742,40.724984562415,-73.981282649047,,,M-0174,4.4,434.0,,"{'Monday': ['12:00–04:00'], 'Tuesday': ['12:00–04:00'], 'Wednesday': ['12:00–04:00'], 'Thursday': ['12:00–04:00'], 'Friday': ['12:00–04:00'], 'Saturday': ['12:00–04:00'], 'Sunday': ['12:00–04:00']}",0.0,2024-01-26,A,American,
"Cafe Atelier (Art Students League), 215 West 57 Street",ChIJLfifovdYwokR1ddIX26VPwQ,The Art Students League of New York,"215 W 57th St Suite 1, New York, NY 10019, USA",(+1) 212-247-4510,40.765886941316,-73.980895665472,,,M-0474,4.8,169.0,,"{'Monday': ['08:30–20:30'], 'Tuesday': ['08:30–20:30'], 'Wednesday': ['08:30–20:30'], 'Thursday': ['08:30–20:30'], 'Friday': ['08:30–20:30'], 'Saturday': ['08:30–16:00'], 'Sunday': ['08:30–16:00']}",0.0,2025-03-17,A,American,
"Donohue'S Steak House, 845 Lexington Avenue",ChIJ3SY60u5YwokRU9T-obR5cXY,Donohue's Steak House,"845 Lexington Ave, New York, NY 10065, USA",(+1) 212-744-0938,40.765512884509,-73.965769788003,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'tradamerican', 'title': 'American'}]",https://s3-media2.fl.yelpcdn.com/bphoto/KvBWvLKALLpVXN_cO4etuQ/o.jpg,M-0479,4.3,248.0,$$,"{'Monday': ['11:30–22:30'], 'Tuesday': ['11:30–22:30'], 'Wednesday': ['11:30–22:30'], 'Thursday': ['11:30–22:30'], 'Friday': ['11:30–22:30'], 'Saturday': ['11:30–22:30'], 'Sunday': []}",0.0,2024-10-23,A,Steakhouse,
"Old Homestead, 56 9 Avenue",ChIJ7-2lDL9ZwokRvzpIH3Etebo,Old Homestead Steakhouse,"56 9th Ave, New York, NY 10011, USA",(+1) 212-242-9040,40.741372224356,-74.005037755098,"[{'alias': 'steak', 'title': 'Steakhouses'}]",https://s3-media1.fl.yelpcdn.com/bphoto/fKuSMGp5RVfsm5OgIbSI2Q/o.jpg,M-0269,4.1,2322.0,$$$$,"{'Monday': [], 'Tuesday': ['17:00 - 21:00'], 'Wednesday': ['17:00 - 21:00'], 'Thursday': ['17:00 - 21:00'], 'Friday': ['17:00 - 21:00'], 'Saturday': ['17:00 - 22:00'], 'Sunday': ['16:00 - 21:00']}",1.0,2023-03-23,A,American,"['delivery', 'dine_in', 'reservable', 'wheelchair_accessible_entrance', 'serves_beer', 'serves_dinner', 'serves_wine', 'takeout']"
"Mcsorley'S Old Ale House, 15 East 7 Street",ChIJGdCSd5tZwokRfYvMyzO7qtE,McSorley’s Old Ale House,"15 E 7th St, New York, NY 10003, USA",(+1) 212-254-2570,40.728584000789,-73.989536765481,,,M-0201,4.7,8054.0,,"{'Monday': ['11:00–01:00'], 'Tuesday': ['11:00–01:00'], 'Wednesday': ['11:00–01:00'], 'Thursday': ['11:00–01:00'], 'Friday': ['11:00–01:00'], 'Saturday': ['11:00–01:00'], 'Sunday': ['12:00–01:00']}",0.0,2023-08-17,A,Irish,
"Corner Bistro, 331 West 4 Street",ChIJ0_ZHCiRZwokRUydW_tjoTs4,Corner Bistro,"331 W 4th St, New York, NY 10014, USA",(+1) 212-242-9502,40.737924847314,-74.003861116033,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'divebars', 'title': 'Dive Bars'}]",https://s3-media2.fl.yelpcdn.com/bphoto/RS70OymEHMmOFqv9ZMyKWg/o.jpg,M-0254,4.3,2716.0,$$,"{'Monday': ['08:30 - 02:00'], 'Tuesday': ['08:30 - 02:00'], 'Wednesday': ['08:30 - 02:00'], 'Thursday': ['08:30 - 02:00'], 'Friday': ['08:30 - 04:00'], 'Saturday': ['10:00 - 04:00'], 'Sunday': ['10:00 - 02:00']}",1.0,2024-02-28,B,American,"['delivery', 'dine_in', 'wheelchair_accessible_entrance', 'serves_beer', 'serves_brunch', 'serves_dinner', 'serves_lunch', 'serves_wine', 'takeout']"
"Dorrian'S Red Hand Restaurant, 1616 2 Avenue",ChIJteIB7LtYwokRtpSjMShuna8,Dorrian's Red Hand (NYC),"1616 2nd Ave, New York, NY 10028, USA",(+1) 212-772-6660,40.776404966262,-73.952802065662,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",https://s3-media1.fl.yelpcdn.com/bphoto/wzfeEC0FQKEKOV7iySE6Gg/o.jpg,M-0584,4.1,524.0,$$,"{'Monday': ['11:00–03:45'], 'Tuesday': ['11:00–03:45'], 'Wednesday': ['11:00–03:45'], 'Thursday': ['11:00–03:45'], 'Friday': ['11:00–03:45'], 'Saturday': ['11:00–03:45'], 'Sunday': ['11:00–03:45']}",0.0,2024-03-14,A,Irish,
"La Grenouille, 3 East 52 Street",ChIJY6LmkvtYwokRF9f8cvuztK4,La Grenouille,"3 E 52nd St, New York, NY 10022, USA",(+1) 212-752-1495,40.759658161533,-73.975977435444,,,M-0436,4.4,624.0,,,0.0,2023-03-29,A,French,
"Keats Restaurant, 842 2 Avenue",ChIJhREnMB1ZwokRJZkTG2ejqQU,Keats Bar,"842 2nd Ave, New York, NY 10017, USA",(+1) 212-682-5490,40.751598370567,-73.970894901051,"[{'alias': 'newamerican', 'title': 'New American'}]",,M-0359,4.2,547.0,,"{'Monday': [], 'Tuesday': ['16:00–02:00'], 'Wednesday': ['16:00–02:00'], 'Thursday': ['16:00–04:00'], 'Friday': ['16:00–04:00'], 'Saturday': ['18:00–04:00'], 'Sunday': []}",0.0,2024-10-09,A,American,
"Arturo'S, 106 West Houston Street",ChIJ_W7QdcJZwokR1I9MovwwnUo,Arturo's Coal Oven Pizza,"106 W Houston St, New York, NY 10012, USA",(+1) 212-677-3820,40.727234052041,-74.000515935209,"[{'alias': 'italian', 'title': 'Italian'}]",https://s3-media2.fl.yelpcdn.com/bphoto/aldsAFoTxzuxaHf5FktyrA/o.jpg,M-0183,4.5,554.0,$$,"{'Monday': ['17:00–23:00'], 'Tuesday': ['17:00–23:00'], 'Wednesday': ['17:00–23:00'], 'Thursday': ['17:00–23:00'], 'Friday': ['17:00–23:00'], 'Saturday': ['17:00–23:00'], 'Sunday': ['17:00–23:00']}",0.0,2023-03-20,A,Italian,
"Donut Pub, 203 West 14 Street",ChIJ7TDV571ZwokRvqsr3Mv_gI8,The Donut Pub,"203 W 14th St, New York, NY 10011, USA",(+1) 646-398-7007,40.738748341271,-74.000144342577,,,M-0256,4.6,2408.0,,"{'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []}",0.0,2024-12-27,A,Donuts,
"V & T Restaurant, 1024 Amsterdam Avenue",ChIJtUqk7Dz2wokRsi_5j6j1DHM,V & T,"1024 Amsterdam Ave, New York, NY 10025, USA",(+1) 212-663-1708,40.803329420525,-73.963611914951,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}]",https://s3-media2.fl.yelpcdn.com/bphoto/ozanlcnwXkmd_adB6fTSqQ/o.jpg,M-0836,4.2,902.0,$$,"{'Monday': ['11:30–23:00'], 'Tuesday': ['11:30–23:00'], 'Wednesday': ['11:30–23:00'], 'Thursday': ['11:30–23:00'], 'Friday': ['11:30–23:00'], 'Saturday': ['11:30–23:00'], 'Sunday': ['11:30–23:00']}",0.0,2024-09-18,,Italian,
"Joe Allen Restaurant, 326 West 46 Street",ChIJ0QKr91NYwokRhzehyIw3f0s,Joe Allen,"326 W 46th St, New York, NY 10036, USA",(+1) 212-581-6464,40.760178896668,-73.988882031739,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",https://s3-media2.fl.yelpcdn.com/bphoto/R8sMd6M4dd8a_hxqw33T-A/o.jpg,M-0432,4.5,1053.0,$$,"{'Monday': [], 'Tuesday': ['12:00–23:30'], 'Wednesday': ['11:30–23:30'], 'Thursday': ['12:00–23:30'], 'Friday': ['12:00–23:30'], 'Saturday': ['11:30–23:30'], 'Sunday': ['11:30–22:30']}",0.0,2025-01-28,A,American,
"Barbetta Restaurant, 319321 323 W. 46Th St.",ChIJ73sACFRYwokRu8ZWS8uo2wg,Barbetta,"321 W 46th St, New York, NY 10036, USA",(+1) 212-246-9171,40.76031,-73.98889,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'newamerican', 'title': 'New American'}]",https://s3-media1.fl.yelpcdn.com/bphoto/OqSS-ddQ_mtGza6NrkDoqA/o.jpg,M-0432,4.1,541.0,$$$,"{'Monday': [], 'Tuesday': ['16:30–23:00'], 'Wednesday': ['12:00–14:00', '16:30–23:00'], 'Thursday': ['16:30–23:00'], 'Friday': ['16:00–23:30'], 'Saturday': ['12:00–14:00', '16:30–23:30'], 'Sunday': []}",0.0,2024-07-11,A,Italian,
"Patsy'S Italian Restaurant, 236 West 56 Street",ChIJ22yt_PdYwokRFf4cnErij6k,Patsy's Italian Restaurant,"236 W 56th St, New York, NY 10019, USA",(+1) 212-247-3491,40.765618195284,-73.98239751366,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",https://s3-media3.fl.yelpcdn.com/bphoto/vuP2Xm5XakTDI4X4flQWwA/o.jpg,M-0474,4.3,1954.0,$$$,"{'Monday': ['16:30–21:30'], 'Tuesday': ['12:00–21:30'], 'Wednesday': ['12:00–21:30'], 'Thursday': ['12:00–21:30'], 'Friday': ['12:00–21:30'], 'Saturday': ['12:00–21:30'], 'Sunday': ['12:00–21:30']}",0.0,2023-12-28,A,Italian,
"Neary'S Pub, 358 East 57 Street",ChIJtYFNwuZYwokRabt0PRBrFyo,Neary's,"358 E 57th St, New York, NY 10022, USA",(+1) 212-751-1434,40.758639389205,-73.963748322244,,,M-0419,4.6,288.0,,,0.0,2024-05-16,,American,
"New York Pizza Suprema, 413 8 Avenue",ChIJjaD94kFZwokR-20CXqlpy_4,NY Pizza Suprema,"413 8th Ave, New York, NY 10001, USA",(+1) 212-594-8939,40.750031951553,-73.995040989424,"[{'alias': 'pizza', 'title': 'Pizza'}]",https://s3-media4.fl.yelpcdn.com/bphoto/EqbDXneMuQP6pw6GemVdQA/o.jpg,M-0333,4.6,7850.0,$$,"{'Monday': ['10:30–00:00'], 'Tuesday': ['10:30–00:00'], 'Wednesday': ['10:30–00:00'], 'Thursday': ['10:30–00:00'], 'Friday': ['10:30–00:00'], 'Saturday': ['10:30–00:00'], 'Sunday': ['10:30–00:00']}",0.0,2025-04-14,A,Pizza,
"Mee Sum Cafe, 26 Pell Street",ChIJfXfu_CZawokRsynindnEfPY,Mee Sum Cafe,"26 Pell St, New York, NY 10013, USA",(+1) 212-349-5260,40.714860627928,-73.998199974185,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cafes', 'title': 'Cafes'}]",https://s3-media4.fl.yelpcdn.com/bphoto/uLNVTT_7aSLPpB5x1bKF7Q/o.jpg,M-0109,4.1,134.0,$,"{'Monday': ['05:30–17:00'], 'Tuesday': ['05:30–17:00'], 'Wednesday': ['05:30–17:00'], 'Thursday': ['05:30–17:00'], 'Friday': ['05:30–17:00'], 'Saturday': ['05:30–17:00'], 'Sunday': ['05:30–17:00']}",0.0,2025-05-05,,Coffee/Tea,
"Hop Kee Restaurant, 21 Mott Street",ChIJTVG07iZawokR6lRX9rV0puI,Hop Kee Restaurant,"21 Mott St, New York, NY 10013, USA",(+1) 212-964-8365,40.71436383248,-73.998784360399,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",https://s3-media3.fl.yelpcdn.com/bphoto/TsKZMK8MQLXoAOkr7ogAJA/o.jpg,M-0094,4.2,1365.0,$$,"{'Monday': ['11:00–21:00'], 'Tuesday': ['11:00–21:00'], 'Wednesday': ['11:00–21:00'], 'Thursday': ['11:00–21:00'], 'Friday': ['11:00–21:00'], 'Saturday': ['11:00–21:00'], 'Sunday': ['11:00–21:00']}",0.0,2025-01-06,A,Chinese,
"Nancy Whiskey Pub, 1 Lispenard Street",ChIJT04J54pZwokR8ScZIBBgLTk,Nancy Whiskey Pub,"1 Lispenard St, New York, NY 10013, USA",(+1) 212-226-9943,40.720539457665,-74.005010921281,,,M-0137,4.5,981.0,,"{'Monday': ['11:00–04:00'], 'Tuesday': ['11:00–04:00'], 'Wednesday': ['11:00–04:00'], 'Thursday': ['11:00–04:00'], 'Friday': ['11:00–04:00'], 'Saturday': ['11:00–04:00'], 'Sunday': ['12:00–04:00']}",0.0,2024-09-24,A,American,
"Killarney Rose, 80 Beaver Street",ChIJQalvcBZawokRGSuWUh6cZiI,Killarney Rose,"127 Pearl St, New York, NY 10005, USA",(+1) 212-422-1486,40.705338706862,-74.008692264913,,,M-0046,4.4,611.0,,"{'Monday': ['11:00–00:00'], 'Tuesday': ['11:00–00:00'], 'Wednesday': ['11:00–02:00'], 'Thursday': ['11:00–02:00'], 'Friday': ['11:00–02:00'], 'Saturday': ['11:00–02:00'], 'Sunday': ['11:00–23:00']}",0.0,2025-03-06,A,Irish,
"Tio Pepe, 168 West 4 Street",ChIJP9QbH5HGDQ0R7d77RhLqFOQ,Bodega Tio Pepe,"C. Manuel María González, 12, 11403 Jerez de la Frontera, Cádiz, Spain",(+1) 212-242-9338,40.732056597098,-74.001443280258,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'seafood', 'title': 'Seafood'}]",https://s3-media4.fl.yelpcdn.com/bphoto/fDmnyyGZBYDvfEiHFKDOYg/o.jpg,M-0212,4.2,1495.0,$$,"{'Monday': [], 'Tuesday': ['11:30–13:00', '16:00–17:00'], 'Wednesday': ['11:30–13:00', '16:00–17:00'], 'Thursday': ['11:30–13:00', '16:00–17:00'], 'Friday': ['11:30–13:00', '16:00–17:00'], 'Saturday': ['11:00–13:00'], 'Sunday': ['11:00–13:00']}",0.0,2023-12-05,A,Seafood,
"Blarney Stone, 11 Trinity Place",ChIJWUf6PBFawokRifmCHSgp17w,Blarney Stone,"11 Trinity Pl, New York, NY 10006, USA",(+1) 646-669-8197,40.706523941132,-74.013846556301,,,M-0052,4.0,358.0,,"{'Monday': ['10:00–00:00'], 'Tuesday': ['10:00–00:00'], 'Wednesday': ['10:00–00:00'], 'Thursday': ['10:00–00:00'], 'Friday': ['10:00–02:00'], 'Saturday': ['10:00–02:00'], 'Sunday': ['10:00–19:00']}",0.0,2025-01-14,A,Irish,
"Shun Lee Palace Restaurant, 155 East 55 Street",ChIJO8Bn7eRYwokRzpiMOXnARiU,Shun Lee Palace,"155 E 55th St, New York, NY 10022, USA",(+1) 212-371-8844,40.759376653074,-73.96948371139,"[{'alias': 'chinese', 'title': 'Chinese'}]",https://s3-media1.fl.yelpcdn.com/bphoto/Fmv9X1nbN5knS2Y7NVRghA/o.jpg,M-0417,3.8,315.0,$$$,"{'Monday': [], 'Tuesday': ['12:00–14:30', '16:30–21:30'], 'Wednesday': ['12:00–14:30', '16:30–21:30'], 'Thursday': ['12:00–14:30', '16:30–21:30'], 'Friday': ['12:00–14:30', '16:30–21:30'], 'Saturday': ['16:30–21:30'], 'Sunday': ['12:00–14:30', '16:30–21:30']}",0.0,2023-06-06,A,Chinese,
"Mexico Lindo Restaurant, 459 2 Avenue",ChIJ5Yl_fQlZwokRc5aNVwXCQgg,Mexico Lindo,"459 2nd Ave, New York, NY 10010, USA",(+1) 212-679-3665,40.739644067898,-73.979614944263,,,M-0278,4.3,444.0,,,0.0,2023-10-26,A,Mexican,
"Broome Street Bar, 363 West Broadway",ChIJEXPuhotZwokRa4EDU1xXe8E,Kenn's Broome Street Bar,"363 W Broadway, New York, NY 10013, USA",(+1) 212-925-2086,40.723116860955,-74.003124280993,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American'}]",https://s3-media2.fl.yelpcdn.com/bphoto/UEYRnWhFOauNb4wQy04ujw/o.jpg,M-0153,4.2,1311.0,$$,"{'Monday': ['11:00–01:30'], 'Tuesday': ['11:00–01:30'], 'Wednesday': ['11:00–01:30'], 'Thursday': ['11:00–01:30'], 'Friday': ['11:00–02:30'], 'Saturday': ['11:00–02:30'], 'Sunday': ['11:00–01:30']}",0.0,2024-05-29,A,American,
"Jg Melon Restaurant, 1291 3 Avenue",ChIJORutA8BYwokR6obC5YpaamM,JG Melon,"1291 3rd Ave, New York, NY 10021, USA",(+1) 212-744-0585,40.771192500921,-73.959531818288,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'salad', 'title': 'Salad'}]",https://s3-media3.fl.yelpcdn.com/bphoto/dwLC4r5SPpqATshci2TfIQ/o.jpg,M-0543,4.2,3556.0,$$,"{'Monday': ['11:30–03:00'], 'Tuesday': ['11:30–03:00'], 'Wednesday': ['11:30–03:00'], 'Thursday': ['11:30–03:00'], 'Friday': ['11:30–03:00'], 'Saturday': ['11:30–03:00'], 'Sunday': ['11:30–03:00']}",0.0,2025-01-28,A,American,
"Tap Room, Grab & Go, 180 Central Park South",ChIJy4YvGvdYwokRCYxitg-lWMQ,180 Central Park S,"180 Central Park S, New York, NY 10019, USA",(+1) 212-767-7085,40.766718222992,-73.978736594767,,,M-0496,,,,,0.0,2024-12-10,A,American,
"Cocktail Room (Nyac), 180 Central Park South",ChIJe8AFBXhZwokR6LfDf9I1Psw,NYAC Cocktail Lounge,"180 Central Park S, New York, NY 10019, USA",(+1) 212-767-7000,40.766718222992,-73.978736594767,,,M-0496,4.3,6.0,,"{'Monday': ['13:00–00:00'], 'Tuesday': ['13:00–00:00'], 'Wednesday': ['13:00–00:00'], 'Thursday': ['13:00–00:00'], 'Friday': ['13:00–00:00'], 'Saturday': ['13:00–00:00'], 'Sunday': ['00:00–12:00', '13:00–00:00']}",0.0,2023-12-14,A,American,
"The Flame Diner, 893 9 Avenue",ChIJFZlc5FhYwokRbT7uEa40OmY,The Flame Diner,"893 9th Ave, New York, NY 10019, USA",(+1) 212-765-7962,40.768431984928,-73.9853426732,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",https://s3-media4.fl.yelpcdn.com/bphoto/PNJO9r_DsNC9RRfer4nTcw/o.jpg,M-0494,4.1,2287.0,$$,"{'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []}",0.0,2024-07-10,A,American,
"Jackson Hole, 232 East 64 Street",ChIJz1Tn8OhYwokR3vYhdkNqVFc,Jackson Hole,"232 E 64th St A, New York, NY 10021, USA",(+1) 212-371-7187,40.764309967429,-73.963456427466,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",https://s3-media2.fl.yelpcdn.com/bphoto/3EJ0bv5NXlJMq6BQmIo-Pw/o.jpg,M-0480,4.5,1904.0,$$,"{'Monday': ['11:00–22:00'], 'Tuesday': ['11:00–22:00'], 'Wednesday': ['11:00–22:00'], 'Thursday': ['11:00–22:00'], 'Friday': ['11:00–23:00'], 'Saturday': ['11:00–23:00'], 'Sunday': ['11:00–22:00']}",0.0,2024-12-09,A,Hamburgers,
