,grid_id,station_count,station_ids
221,M-0372,2,"['0fde06c2-632c-46a9-8866-f4e855604f74', 'f72a253f-3cef-4da8-9591-0cbd3a692162']"
229,M-0387,3,"['cb05443c-e68e-48f7-8d17-35353fa19d4d', '66dc1d80-0aca-11e7-82f6-3863bb44ef7c', '88c1303b-3349-4591-bf08-c7e40cf3537a']"
234,M-0393,2,"['66dc48ef-0aca-11e7-82f6-3863bb44ef7c', '904930bd-2671-4695-9c1a-8a894b041129']"
244,M-0414,2,"['66dd9fa6-0aca-11e7-82f6-3863bb44ef7c', 'd29ea280-8b64-4a35-b12b-245525ae2a3a']"
245,M-0415,2,"['821b19c1-ab13-4482-9580-770288a377a7', '70634bc4-4d90-42d4-8f6a-3f29fa8f7f77']"
246,M-0417,2,"['66dea7b5-0aca-11e7-82f6-3863bb44ef7c', '66dbcdfc-0aca-11e7-82f6-3863bb44ef7c']"
247,M-0418,2,"['66dbe7b6-0aca-11e7-82f6-3863bb44ef7c', '66dc28bd-0aca-11e7-82f6-3863bb44ef7c']"
255,M-0431,2,"['490ca6cc-c2a2-4838-acf0-4704ed60dc51', '66dc42a0-0aca-11e7-82f6-3863bb44ef7c']"
258,M-0434,2,"['2004153375425087884', '66dc7b10-0aca-11e7-82f6-3863bb44ef7c']"
259,M-0435,2,"['67f60e7e-397a-4e47-b7f9-d10bd67133b3', '66de8a86-0aca-11e7-82f6-3863bb44ef7c']"
261,M-0437,2,"['6fd61eee-d0ef-4580-9704-bd06b82bcb61', '66dc21d4-0aca-11e7-82f6-3863bb44ef7c']"
264,M-0449,2,"['66dc79e6-0aca-11e7-82f6-3863bb44ef7c', '2c321ea3-e1dd-4d32-be70-bd158fe1f568']"
270,M-0455,3,"['66dbc551-0aca-11e7-82f6-3863bb44ef7c', '581d8683-c217-4f96-89cb-b5a94d780b83', '1791472201147965920']"
272,M-0460,2,"['1960020234227886806', '199ea9dd-8f7e-4e05-a730-55edaacd8787']"
277,M-0474,2,"['1198e739-787c-4ce4-aa63-ffaf98506e9c', '66dc2bc5-0aca-11e7-82f6-3863bb44ef7c']"
283,M-0491,2,"['1f872052-38c4-4701-96c4-c363de51c2b5', '66db237e-0aca-11e7-82f6-3863bb44ef7c']"
297,M-0522,2,"['1882824287789509296', '66de269c-0aca-11e7-82f6-3863bb44ef7c']"
300,M-0533,2,"['66dc864c-0aca-11e7-82f6-3863bb44ef7c', '2f656bc4-7743-4326-8330-a22bd41d9d17']"
349,M-0655,2,"['1833865926273309136', '66dd4f9b-0aca-11e7-82f6-3863bb44ef7c']"
353,M-0664,2,"['66de0861-0aca-11e7-82f6-3863bb44ef7c', '66ddebce-0aca-11e7-82f6-3863bb44ef7c']"
359,M-0686,2,"['66dde76a-0aca-11e7-82f6-3863bb44ef7c', '66de0dfd-0aca-11e7-82f6-3863bb44ef7c']"
377,M-0748,2,"['66ddeaff-0aca-11e7-82f6-3863bb44ef7c', '66ddede1-0aca-11e7-82f6-3863bb44ef7c']"
380,M-0758,2,"['1835618878584115330', 'c05cd2e2-74e8-4526-a62b-d631e005fdd8']"
393,M-0797,2,"['66de12ff-0aca-11e7-82f6-3863bb44ef7c', '66de077f-0aca-11e7-82f6-3863bb44ef7c']"
400,M-0816,2,"['66de20c8-0aca-11e7-82f6-3863bb44ef7c', '66de1af4-0aca-11e7-82f6-3863bb44ef7c']"
403,M-0824,2,"['7a15d81b-357e-42e0-b208-93ffd562fd63', 'd3f51f51-7e51-4c75-8600-d76916608707']"
410,M-0840,2,"['760ebaea-f7c7-45ad-aa3b-395d97adcf8f', '138094a0-cd7d-4014-9b21-4fb2afd3980e']"
420,M-0861,2,"['5f63411c-91ce-4788-a567-d388cc812a15', '38975061-0d90-43a3-87c1-8905b374d5d9']"
426,M-0874,2,"['c63a83a0-bda1-40a6-835b-f82c363543b9', '1d130e43-0408-4423-bb52-77a08372cefa']"
439,M-0898,2,"['01839a78-f228-4706-8f7f-147b857492f2', 'b79bb851-130f-473d-83fc-f602aa0a4ca9']"
454,M-0928,2,"['a1112e04-bc50-4782-b3d6-bb5902c0e8db', '16280b32-7e5b-4a18-930b-212eac10faaa']"
455,M-0929,2,"['44fa161f-eb62-459b-b53e-da83788cfa2a', '7f6674c4-5568-4766-b172-0385348ae184']"
465,M-0948,2,"['01a1343d-9c7b-4a83-8a5a-a600187f19c4', 'fe6f022b-7fdb-44fe-80bb-cbfc500959bf']"
466,M-0949,2,"['c8060816-b4aa-4fd9-bc66-af28bf61dc87', '9c1c3499-1b11-471f-b59a-87d9e27e15c5']"
467,M-0952,2,"['0ddb965d-95ef-4ce3-bde6-81a56ac1fbd2', '943be327-0320-4ae1-8eb0-8a56f86a4fb6']"
471,M-0962,2,"['361dd964-db79-47dd-b044-eac88c735249', 'c229f0ca-bdd1-4aa0-8906-a3e809e12889']"
472,M-0963,2,"['0b94cc1e-2327-4679-99d9-3b21ddc02051', '1b962833-d769-418e-b1ef-5a183bb5eb1a']"
476,M-0970,2,"['54df610f-0e47-4958-98ca-37bb1b1c4dca', '8f1fdf4b-ecca-4f03-b04c-e10fe596e2c7']"
480,M-0978,2,"['f6c33f22-d650-4935-a928-fb693a828b5f', '676b7b4d-b1c0-4c97-8ac3-5fe665e51108']"
484,M-0985,2,"['058ee86d-ce2a-4597-99f7-f78f082b33e3', 'c6c10756-ef41-491a-8e6c-ee0aa27b8cbe']"
507,M-1033,2,"['ceb179f3-89c3-4c3e-8a0a-3415406a9463', '6a52ceae-3b97-487a-9438-de844bfbf1c2']"
519,M-1062,2,"['2546c9b9-5b1a-4e9f-a9cc-f8b986b79748', '8d650b03-920d-4d44-a48f-8d9a1a0ba264']"
526,M-1080,2,"['e1a3f2f9-618f-4727-b2d6-676e02aadf17', '23bc4d9b-1ec2-45fb-9228-e41517346b24']"
527,M-1081,2,"['fbaffdbd-dab5-4127-9bd5-36bf58093ea8', '99b7c9a5-9679-417f-b884-21c4b240aa99']"
529,M-1088,2,"['0e82ab9f-8c93-4302-b9df-342f8135a05c', 'a5bd1f58-7df8-4df6-9636-372f1bc194be']"
530,M-1093,2,"['18d980e5-ba08-4bc3-832e-03eb71865768', '89ff4db3-8a29-4565-a366-6fea4b3afc39']"
