CAMIS,DBA,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,inspection_times,violation_times,normalized_name,in_yelp_by_name,yelp_lat,yelp_lon,normalized_phone,in_yelp_by_phone,in_yelp_by_name_or_phone,distance_by_name_or_phone,yelp_combined_match_confidence
40653417,STARBUCKS,261,5 AVENUE,10016.0,2127791557,Coffee/Tea,2025-03-12,Violations were cited in the following area(s).,19-10,Failure to display required signage about plastic straw availability,Not Critical,,,,05/26/2025,Administrative Miscellaneous / Initial Inspection,40.745123683912,-73.986957395322,105.0,4.0,7400.0,1016921.0,1008580078.0,MN17,3,1,starbucks,True,40.72023566,-74.00095858,2127791557,False,True,3008.3862821257576,low
40664744,STARBUCKS,424,PARK AVENUE SOUTH,10016.0,2127250637,Coffee/Tea,2025-01-09,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,01/09/2025,05/26/2025,Cycle Inspection / Re-inspection,40.744033578087,-73.983568897664,105.0,2.0,7400.0,1016934.0,1008590039.0,MN17,5,2,starbucks,True,40.72023566,-74.00095858,2127250637,False,True,3024.7953790277957,low
40697311,STARBUCKS,494,8 AVENUE,10001.0,2129473860,Coffee/Tea,2024-09-26,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,7.0,A,09/26/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.752650353431,-73.993109807324,105.0,3.0,10900.0,1014419.0,1007840077.0,MN17,3,1,starbucks,True,40.72023566,-74.00095858,2129473860,False,True,3664.5116802776,low
40703791,STARBUCKS,30,ROCKEFELLER CENTER PLAZA,10111.0,2123977950,Coffee/Tea,2024-06-24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,10.0,A,06/24/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.759260547027,-73.977843784017,105.0,4.0,10400.0,1000000.0,1012660001.0,MN17,3,3,starbucks,True,40.72023566,-74.00095858,2123977950,False,True,4756.323230890616,low
40703795,STARBUCKS,2,COLUMBUS AVENUE,10019.0,2124896757,Coffee/Tea,2024-12-10,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,4.0,A,12/10/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.769469474454,-73.985122219615,107.0,3.0,14500.0,1085729.0,1011317501.0,MN14,4,1,starbucks,True,40.72023566,-74.00095858,2124896757,False,True,5634.764347585038,low
40715360,STARBUCKS,100,WILLIAM STREET,10038.0,2125099709,Coffee/Tea,2025-01-27,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,12.0,A,01/27/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.708489788781,-74.007477145324,101.0,1.0,1502.0,1001116.0,1000680036.0,MN25,3,1,starbucks,True,40.72023566,-74.00095858,2125099709,False,True,1416.9297295469407,low
40715362,STARBUCKS,871,8 AVENUE,10019.0,2122467699,Coffee/Tea,2024-12-18,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,12/18/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.763636867567,-73.985134357272,104.0,3.0,13300.0,1025257.0,1010437501.0,MN15,3,1,starbucks,True,40.72023566,-74.00095858,2122467699,False,True,5006.746941395135,low
40722659,STARBUCKS,150,EAST   42 STREET,10017.0,2129494122,Coffee/Tea,2024-02-01,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,A,02/01/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.751187728391,-73.975482426507,106.0,4.0,8000.0,1036153.0,1012967502.0,MN20,3,2,starbucks,True,40.72023566,-74.00095858,2129494122,False,True,4056.2142386532905,low
40736135,STARBUCKS,200,MADISON AVENUE,10016.0,2126846873,Coffee/Tea,2024-12-03,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,,,05/26/2025,Administrative Miscellaneous / Initial Inspection,40.748521092266,-73.98241287589,105.0,4.0,8200.0,1017122.0,1008650014.0,MN20,3,2,starbucks,True,40.72023566,-74.00095858,2126846873,False,True,3511.9804534432733,low
40736137,STARBUCKS,2929,BROADWAY,10025.0,2129320300,Coffee/Tea,2024-10-29,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12.0,A,10/29/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.806955562167,-73.964671934299,109.0,7.0,20500.0,1057368.0,1018960023.0,MN09,3,2,starbucks,True,40.72023566,-74.00095858,2129320300,False,True,10115.502227049057,low
40737930,STARBUCKS,55,EAST   53 STREET,10022.0,3477085805,Coffee/Tea,2025-05-20,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,05/20/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.75948472329,-73.973616759453,105.0,4.0,10200.0,1035732.0,1012890036.0,MN17,3,1,starbucks,True,40.72023566,-74.00095858,3477085805,False,True,4934.9213584492345,low
40737932,STARBUCKS,1290,AVENUE OF THE AMERICAS,10119.0,2129774861,Coffee/Tea,2024-03-19,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,03/19/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.760850108553,-73.979716722068,105.0,4.0,10400.0,1034510.0,1012670001.0,MN17,3,1,starbucks,True,40.72023566,-74.00095858,2129774861,False,True,4857.783414553554,low
40748086,STARBUCKS,72,GROVE STREET,10014.0,6464862216,Coffee/Tea,2025-05-16,Violations were cited in the following area(s).,19-10,Failure to display required signage about plastic straw availability,Not Critical,,,,05/26/2025,Administrative Miscellaneous / Initial Inspection,40.733280737209,-74.002796407071,102.0,3.0,7300.0,1080174.0,1005910020.0,MN23,4,4,starbucks,True,40.72023566,-74.00095858,6464862216,False,True,1458.7902235029258,low
40787990,STARBUCKS,77,WEST  125 STREET,10027.0,9174922454,Coffee/Tea,2024-04-23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,5.0,A,04/23/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.807452721614,-73.944713689037,110.0,9.0,20000.0,1053494.0,1017230001.0,MN11,4,2,starbucks,True,40.72023566,-74.00095858,9174922454,False,True,10793.126914010656,low
40788886,STARBUCKS,750,6 AVENUE,10010.0,6462307208,Coffee/Tea,2024-10-15,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,10/15/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.744007027064,-73.991984743351,105.0,3.0,5800.0,1085951.0,1008260001.0,MN13,3,1,starbucks,True,40.72023566,-74.00095858,6462307208,False,True,2749.2799799565805,low
40788891,STARBUCKS,1378,MADISON AVENUE,10128.0,2125347225,Coffee/Tea,2024-01-08,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,01/08/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.787121068134,-73.954246140917,108.0,4.0,16001.0,1047436.0,1015070056.0,MN40,3,2,starbucks,True,40.72023566,-74.00095858,2125347225,False,True,8414.017069385902,low
40790307,STARBUCKS,685,3 AVENUE,10017.0,6468651250,Coffee/Tea,2024-04-10,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,04/10/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.751610053914,-73.973818399777,106.0,4.0,8800.0,1037555.0,1013170001.0,MN19,3,2,starbucks,True,40.72023566,-74.00095858,6468651250,False,True,4171.312313147366,low
40800557,MCDONALD'S,160,BROADWAY,10038.0,2123852063,Hamburgers,2025-02-28,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,02/28/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.709485926778,-74.010240199733,101.0,1.0,1502.0,1079040.0,1000640015.0,MN25,3,1,mcdonalds,True,40.70136294874,-73.9434894919395,2123852063,False,True,5698.70812976538,low
40814124,STARBUCKS,360,LEXINGTON AVENUE,10017.0,9296138795,Coffee/Tea,2025-05-16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,05/16/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.750422214106,-73.976800067099,105.0,4.0,8000.0,1036145.0,1012950017.0,MN20,4,4,starbucks,True,40.72023566,-74.00095858,9296138795,False,True,3925.552548170925,low
40814134,STARBUCKS,511,LEXINGTON AVENUE,10017.0,2124861964,Coffee/Tea,2024-07-16,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6.0,A,07/16/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.755095757428,-73.973203417343,106.0,4.0,9200.0,1036219.0,1013020051.0,MN19,3,1,starbucks,True,40.72023566,-74.00095858,2124861964,False,True,4527.009310229901,low
40814139,STARBUCKS,1102,1 AVENUE,10065.0,2126889118,Coffee/Tea,2024-07-16,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,5.0,A,07/16/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.760387031457,-73.961390206132,108.0,5.0,10602.0,1045271.0,1014557501.0,MN31,3,1,starbucks,True,40.72023566,-74.00095858,2126889118,False,True,5571.888678412804,low
40818115,STARBUCKS,803,WEST  181 STREET,10033.0,2129274272,Coffee/Tea,2025-05-13,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,3.0,A,05/13/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.850970162108,-73.938496281189,112.0,10.0,27300.0,1064336.0,1021790090.0,MN35,3,1,starbucks,True,40.72023566,-74.00095858,2129274272,False,True,15458.982525370697,low
40827432,STARBUCKS,787,7 AVENUE,10019.0,2122456479,Coffee/Tea,2024-05-02,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,05/02/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.761948488597,-73.982622296463,105.0,4.0,13100.0,1023157.0,1010040020.0,MN17,3,1,starbucks,True,40.72023566,-74.00095858,2122456479,False,True,4888.746090674601,low
40827435,STARBUCKS,1631,1 AVENUE,10028.0,2127376534,Coffee/Tea,2025-04-02,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,04/02/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.776044214105,-73.949993280332,108.0,5.0,14601.0,1049968.0,1015470023.0,MN32,3,1,starbucks,True,40.72023566,-74.00095858,2127376534,False,True,7546.01020627274,low
40838446,STARBUCKS,1449,2 AVENUE,10021.0,2124720653,Coffee/Tea,2024-05-14,Violations were cited in the following area(s).,04O,Live animal other than fish in tank or service animal present in facility’s food or non-food area.,Critical,7.0,A,05/14/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.771043264879,-73.95673752047,108.0,4.0,13400.0,1044060.0,1014307501.0,MN31,4,3,starbucks,True,40.72023566,-74.00095858,2124720653,False,True,6767.224483479823,low
40838447,STARBUCKS,510,6 AVENUE,10011.0,2122425981,Coffee/Tea,2025-03-25,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,4.0,A,03/25/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.736815993985,-73.997217877824,102.0,2.0,6300.0,1009706.0,1005777502.0,MN23,3,2,starbucks,True,40.72023566,-74.00095858,2122425981,False,True,1870.4005550773868,low
40850859,STARBUCKS,2529,BROADWAY,10025.0,2123160374,Coffee/Tea,2025-03-31,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,03/31/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.793637448896,-73.972534153226,107.0,6.0,18300.0,1033687.0,1012420055.0,MN12,3,2,starbucks,True,40.72023566,-74.00095858,2123160374,False,True,8505.801996991786,low
40880619,STARBUCKS,776,AVENUE OF THE AMERICAS,10001.0,2124811856,Coffee/Tea,2025-05-20,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,05/20/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.74488255952,-73.99134225377,105.0,3.0,5800.0,1015632.0,1008280001.0,MN13,3,2,starbucks,True,40.72023566,-74.00095858,2124811856,False,True,2857.87964874435,low
40899767,STARBUCKS,145,3 AVENUE,10003.0,2126777248,Coffee/Tea,2024-10-03,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,4.0,A,10/03/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.733864640146,-73.986743109687,106.0,2.0,4800.0,1019522.0,1008960048.0,MN21,3,0,starbucks,True,40.72023566,-74.00095858,2126777248,False,True,1931.733293167219,low
